,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
1980,3559857,3315535,3210169,3238099,3127524,3179868,3110507,3247691,3328772,3735515,3729085,3604713,3526994,3626046,3749497,3998828,4170006,4224747,4229835,4487524,4372101,4297074,4275458,4272306,4168766,4132980,4019418,3951351,3700573,3881644,3719295,3634043,3635579,3858613,2895176,2902454,2886316,3056102,2637757,2594105,2488764,2370894,2348217,2262250,2258372,2208880,2177433,2209363,2147214,2305150,2342739,2291497,2345539,2348856,2366084,2368641,2338526,2326922,2301292,2276001,2183156,2083512,2001102,1951935,1922963,1903573,1819049,1770190,1686029,1630638,1526318,1448682,1378688,1270301,1217246,1125614,1042364,962627,886038,813189,727858,644883,570588,531612,480338,419367,367930,314504,262747,215686,173339,136979,106240,80679,60004,43419,30642,21110,14234,9652,15099,227224681
1981,3607440,3436005,3314474,3260929,3273871,3128726,3185857,3165379,3140834,3439325,3807110,3690985,3598921,3553599,3649792,3783568,4000951,4173839,4171004,4411195,4460084,4299497,4276765,4290326,4336172,4202025,4115191,4065123,3800948,3985769,3860004,3639953,3660642,3595650,3975216,2860944,2863290,2899617,2976210,2766048,2599132,2397799,2382808,2365590,2282952,2216428,2248338,2202038,2080426,2237674,2307528,2271559,2284778,2361559,2369207,2298567,2340465,2373818,2223827,2317754,2268018,2129645,1989414,2001878,1970437,1905065,1829337,1791763,1708596,1663222,1558336,1481231,1404413,1300022,1247885,1157454,1070941,989587,907298,832891,744184,660778,585872,542091,490656,420790,371580,322701,270930,226963,181214,143764,112300,86659,65276,46962,33416,23379,15748,10402,17091,229465714
1982,3643570,3489139,3436728,3361224,3297168,3273883,3133165,3235675,3057900,3257322,3499586,3763436,3682678,3623857,3575021,3681408,3787043,4013718,4124549,4354966,4383331,4384664,4269904,4285965,4358269,4361388,4182796,4158071,3901936,4099510,3953412,3772524,3662352,3619429,3705838,3920880,2820430,2876378,2811802,3136626,2761282,2507772,2407673,2394773,2392734,2240633,2244011,2272028,2075050,2179757,2232824,2235060,2263467,2299708,2382771,2301151,2276563,2372641,2261921,2250301,2303173,2211964,2041123,1990177,2020879,1947325,1835044,1805188,1725417,1690499,1590722,1513441,1431028,1330449,1278787,1189359,1100369,1018976,933574,854848,763730,679188,603825,556727,502278,433601,373452,326853,278382,237543,189530,151362,119906,92962,70904,51444,36721,26028,17689,11901,18429,231664458
1983,3649184,3530264,3490553,3478505,3398377,3295766,3275929,3176388,3122449,3182719,3308761,3456456,3753786,3706645,3642878,3604276,3685509,3807468,3970322,4320386,4335872,4315773,4346943,4275974,4357721,4376343,4340709,4223710,3983565,4216289,4057778,3862390,3792123,3623513,3731337,3659504,3857504,2836163,2778732,2985182,3119377,2669251,2517377,2415058,2429159,2348675,2257591,2267602,2141362,2185668,2168020,2160867,2226301,2277561,2321824,2313389,2285160,2304835,2254082,2299481,2230492,2245155,2128915,2040794,2009579,1990231,1879733,1813691,1732946,1710148,1616223,1544709,1455774,1360692,1309289,1219737,1128408,1047820,960419,880784,782522,699217,622642,570844,516409,446063,384373,327891,280122,246503,195580,157456,126867,100058,76093,55031,40157,28743,19759,13839,19900,233791994
1984,3571901,3543520,3534437,3527196,3517851,3397284,3297294,3315974,3064081,3263292,3229060,3266693,3449276,3779052,3726194,3672874,3611198,3715408,3765596,4165555,4298672,4268470,4269317,4342912,4350012,4368689,4356026,4379658,4039434,4314856,4165848,3963294,3880341,3754734,3738873,3686870,3599824,3877251,2732807,2970607,2959597,3021149,2678800,2520262,2455766,2384491,2355339,2280841,2138406,2269706,2168538,2096579,2151393,2239807,2300323,2253413,2303064,2310387,2182467,2302210,2272133,2172234,2169523,2128609,2060127,1973045,1923108,1861062,1736303,1720868,1634566,1568973,1479114,1389518,1340032,1250315,1154191,1075430,986823,907254,806129,718086,643113,585654,529282,460979,394823,337493,279082,249640,200084,161218,131898,106345,81920,57934,42333,31405,21781,15958,21748,235824902
1985,3678641,3476794,3551533,3566160,3568493,3517699,3398444,3333327,3197941,3217446,3305864,3186466,3261127,3474591,3799385,3757404,3682274,3650102,3679484,3957974,4141855,4227560,4211983,4262193,4421014,4354496,4350586,4394263,4183149,4388571,4255789,4068075,3980389,3845718,3875387,3697189,3624152,3624824,3719774,2937678,2936732,2872892,3030822,2677362,2569589,2412511,2379974,2379271,2152969,2280911,2243141,2096758,2086265,2164111,2263393,2231609,2249070,2326412,2181601,2239960,2267512,2212161,2108162,2168963,2149671,2016182,1910786,1907431,1778854,1729952,1645464,1586941,1495777,1417396,1369877,1282255,1181582,1100951,1012298,933775,830145,742609,662174,602105,542353,474280,408179,347211,286280,250524,199213,163862,134939,110722,87236,61476,43923,32725,23512,17836,25354,237923795
1986,3699552,3587714,3487636,3578320,3609279,3568272,3517951,3430419,3212175,3369581,3253109,3259800,3181455,3285552,3494318,3831207,3769121,3729968,3612654,3869625,3940479,4084031,4166936,4204965,4347648,4419774,4340583,4389511,4191303,4551843,4318488,4155724,4084090,3947936,3972458,3836152,3632135,3651861,3463820,4027068,2902245,2856237,2881926,3021212,2736339,2525079,2395559,2403443,2246427,2307246,2246264,2165717,2084252,2097690,2187250,2194592,2232130,2268929,2189763,2249644,2200011,2205892,2155013,2107008,2190909,2097027,1954564,1897611,1817364,1777356,1654637,1597134,1505523,1438053,1397990,1312600,1209773,1128442,1035265,959601,854281,767368,687254,616432,557274,487345,419322,360256,294413,260364,197159,162038,137486,113820,90887,64745,46252,33650,23940,19673,30698,240132887
1987,3703278,3615305,3601784,3508776,3623062,3610115,3567922,3545782,3304508,3401931,3404520,3206778,3254287,3206241,3305020,3525419,3844664,3826777,3693745,3807701,3854933,3887035,4014506,4149179,4285895,4335527,4400711,4372542,4177403,4570408,4470483,4213587,4167870,4051902,4080179,3932042,3764719,3663013,3476978,3782041,3951539,2827129,2864255,2868066,3096627,2689668,2494825,2418190,2269947,2421526,2265837,2166938,2152572,2095645,2120732,2119707,2200309,2249029,2129191,2269872,2203489,2138741,2157652,2153491,2129207,2130782,2037113,1943674,1803624,1820003,1702478,1607191,1508952,1453150,1419713,1342092,1237138,1157767,1061552,983524,878562,793511,713753,638110,570447,503167,430154,370683,305956,272306,203588,159682,136167,117131,93973,66857,48579,35340,24282,20054,35111,242288918
1988,3756531,3627905,3635067,3619632,3556285,3626544,3610681,3591759,3415937,3514381,3430270,3353946,3203941,3280781,3227299,3337171,3543198,3915582,3794606,3905784,3798452,3807606,3817295,3997051,4234133,4268943,4318868,4430681,4153413,4567317,4476970,4359350,4224240,4139048,4191303,4040862,3856945,3798403,3475006,3821609,3697829,3856986,2836649,2847349,2948798,3042729,2645852,2517357,2285962,2462585,2370932,2185343,2153471,2164203,2120814,2054411,2129937,2215139,2104164,2218791,2215857,2141813,2101100,2155569,2176940,2065199,2072972,2029460,1841906,1811648,1742603,1654847,1511993,1461094,1434583,1363691,1261725,1184851,1088053,1009564,898712,817803,739577,658713,589353,514735,441473,378706,312530,285662,209895,163856,133050,114939,96311,67771,49436,36764,24794,20140,35198,244498982
1989,3858426,3684924,3650190,3645954,3668564,3559366,3625414,3628223,3456623,3647167,3538746,3377306,3349611,3230151,3301022,3258534,3356248,3619735,3880497,4018089,3896856,3753876,3730857,3795186,4080881,4206900,4251897,4344538,4200508,4556363,4463882,4364389,4365873,4197485,4284553,4153242,3961101,3894964,3595271,3850021,3725615,3618058,3865258,2817595,2933327,2898446,2978785,2668801,2382389,2492820,2401729,2284871,2169764,2165575,2190010,2053582,2068876,2141612,2065846,2203829,2160359,2153991,2113450,2099350,2180103,2105443,2013438,2069115,1919095,1855145,1736228,1696340,1552937,1471461,1444900,1381046,1280773,1211500,1115075,1038870,924401,840878,766555,681040,609772,535659,451382,389758,318962,295911,219415,169915,138270,112947,94318,69085,50322,37812,25937,20859,37192,246819230
